Job Title,Salary Estimate,Company Name,Location,Size,Founded,Type of ownership,Industry,salary,Company,State
Data Scientist,$78K-$133K (Glassdoor est.),"Publishers Clearing House LLC
3.3","Jericho, NY",501 to 1000 Employees,1953,Company - Private,Advertising & Marketing,78-133 ,"Publishers Clearing House LLC
", NY
Data Scientist Architect,$78K-$133K (Glassdoor est.),"Sullivan, Cotter and Associates, Inc.
4.2","Minneapolis, MN",201 to 500 Employees,1992,Company - Private,Consulting,78-133 ,"Sullivan, Cotter and Associates, Inc.
", MN
Revit Expert / BIM Modeling Engineer - Concrete Construction,$78K-$133K (Glassdoor est.),Palatial Concrete,"Alexandria, VA",-1,-1,-1,-1,78-133 ,Palatial Concrete, VA
Bioinformatics Scientist,$78K-$133K (Glassdoor est.),Eclipse BioInnovations,"San Diego, CA",-1,-1,-1,-1,78-133 ,Eclipse BioInnovations, CA
Data Engineer,$78K-$133K (Glassdoor est.),"Chenega Corporation
2.7","Springfield, VA",5001 to 10000 Employees,1974,Company - Private,Aerospace & Defense,78-133 ,"Chenega Corporation
", VA
Risk Analytics Manager,$78K-$133K (Glassdoor est.),"Cane Bay Partners VI, LLLP
4.4","Saint Croix, VI",1 to 50 Employees,2009,Company - Private,Consulting,78-133 ,"Cane Bay Partners VI, LLLP
", VI
Senior Food Scientist,$78K-$133K (Glassdoor est.),"R. Torre & Company
3.5","San Francisco, CA",51 to 200 Employees,1925,Company - Private,Food & Beverage Manufacturing,78-133 ,"R. Torre & Company
", CA
Medical Technologist (MT) / Medical Laboratory Scientist (MLT),$78K-$133K (Glassdoor est.),"Sampson Regional Medical Center
2.2","Clinton, NC",501 to 1000 Employees,1949,Hospital,Health Care Services & Hospitals,78-133 ,"Sampson Regional Medical Center
", NC
Data Engineer,$78K-$133K (Glassdoor est.),"Wisconsin Physicians Service Insurance Corporation
3.0","Madison, WI",1001 to 5000 Employees,1946,Company - Private,Insurance Carriers,78-133 ,"Wisconsin Physicians Service Insurance Corporation
", WI
"Associate Director, Clinical Scientist",$78K-$133K (Glassdoor est.),Prelude Therapeutics Incorporated,"Wilmington, DE",1 to 50 Employees,-1,Company - Public,-1,78-133 ,Prelude Therapeutics Incorporated, DE
Data Engineer,$78K-$133K (Glassdoor est.),Airlines Reporting Corporation (ARC),"Arlington, VA",-1,-1,-1,-1,78-133 ,Airlines Reporting Corporation (ARC), VA
"Single B-Cell Antibody Discovery, Beacon Scientist",$78K-$133K (Glassdoor est.),Abveris Antibody,"Canton, MA",-1,-1,-1,-1,78-133 ,Abveris Antibody, MA
Scientist,$78K-$133K (Glassdoor est.),"ArsenalBio
5.0","South San Francisco, CA",51 to 200 Employees,2019,Company - Private,Biotech & Pharmaceuticals,78-133 ,"ArsenalBio
", CA
Scientist,$78K-$133K (Glassdoor est.),"KCI Technologies Inc.
3.6","Sparks, MD",1001 to 5000 Employees,1988,Company - Private,Architectural & Engineering Services,78-133 ,"KCI Technologies Inc.
", MD
Sr Data-Applied Scientist-PCCI,$78K-$133K (Glassdoor est.),"Parkland Center for Clinical Innovation (PCCI)
4.4","Dallas, TX",1 to 50 Employees,2012,Nonprofit Organization,IT Services,78-133 ,"Parkland Center for Clinical Innovation (PCCI)
", TX
Senior Research Statistician- Data Scientist,$78K-$133K (Glassdoor est.),"Acuity, A Mutual Insurance Company
4.8","Sheboygan, WI",1001 to 5000 Employees,1925,Company - Private,Insurance Carriers,78-133 ,"Acuity, A Mutual Insurance Company
", WI
Market Research Data Scientist,$78K-$133K (Glassdoor est.),"GutCheck
3.8","Denver, CO",51 to 200 Employees,2009,Company - Private,Research & Development,78-133 ,"GutCheck
", CO
Data Scientist,$78K-$133K (Glassdoor est.),"TACG, LLC
4.5","Dayton, OH",51 to 200 Employees,2006,Company - Private,Consulting,78-133 ,"TACG, LLC
", OH
Data Engineer,$78K-$133K (Glassdoor est.),"Parsable
4.6",Remote,51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,78-133 ,"Parsable
",Remote
Scientist/Research Associate-Metabolic Engineering,$78K-$133K (Glassdoor est.),"Conagen-Inc.com
2.5","New Bedford, MA",51 to 200 Employees,-1,Company - Private,Biotech & Pharmaceuticals,78-133 ,"Conagen-Inc.com
", MA
Data Scientist,$78K-$133K (Glassdoor est.),"The Dun & Bradstreet Corporation
3.0","Austin, TX",1001 to 5000 Employees,1841,Company - Public,IT Services,78-133 ,"The Dun & Bradstreet Corporation
", TX
Data Scientist,$78K-$133K (Glassdoor est.),"Managed Markets Insight & Technology, LLC
3.9","Yardley, PA",201 to 500 Employees,1994,Company - Private,Biotech & Pharmaceuticals,78-133 ,"Managed Markets Insight & Technology, LLC
", PA
Senior Data Scientist,$78K-$133K (Glassdoor est.),"The Mars Agency
2.9","Southfield, MI",201 to 500 Employees,1972,Company - Private,Advertising & Marketing,78-133 ,"The Mars Agency
", MI
Data Analyst,$78K-$133K (Glassdoor est.),"Trihydro Corporation
4.4","Laramie, WY",501 to 1000 Employees,1984,Company - Private,Oil & Gas Exploration & Production,78-133 ,"Trihydro Corporation
", WY
"Scientist, Tumor Immunology, Discovery Research",$78K-$133K (Glassdoor est.),"ArsenalBio
5.0","South San Francisco, CA",51 to 200 Employees,2019,Company - Private,Biotech & Pharmaceuticals,78-133 ,"ArsenalBio
", CA
Project Scientist,$78K-$133K (Glassdoor est.),"Alliance Source Testing
4.1","Alabaster, AL",51 to 200 Employees,2000,Unknown,Architectural & Engineering Services,78-133 ,"Alliance Source Testing
", AL
Data Scientist,$78K-$133K (Glassdoor est.),"International Financial Group, Inc.
2.9","New York, NY",201 to 500 Employees,1985,Company - Private,Insurance Carriers,78-133 ,"International Financial Group, Inc.
", NY
"Data Scientist - Statistics, Early Career",$78K-$133K (Glassdoor est.),"Pacific Northwest National Laboratory
3.8","Seattle, WA",1001 to 5000 Employees,1965,Government,Energy,78-133 ,"Pacific Northwest National Laboratory
", WA
"Scientist, Preclinical PK/ADME",$78K-$133K (Glassdoor est.),"Sutro Biopharma, Inc.
4.3",United States,51 to 200 Employees,2003,Company - Public,Biotech & Pharmaceuticals,78-133 ,"Sutro Biopharma, Inc.
",United States
Data Scientist,$78K-$133K (Glassdoor est.),"1904Labs
4.7","Saint Louis, MO",51 to 200 Employees,2016,Company - Private,IT Services,78-133 ,"1904Labs
", MO
Principal Data Scientist,$71K-$116K (Glassdoor est.),"Cummins Inc.
3.8","Columbus, IN",10000+ Employees,1919,Company - Public,Transportation Equipment Manufacturing,71-116 ,"Cummins Inc.
", IN
Data Scientist/Data Analytics Practitioner,$71K-$116K (Glassdoor est.),"Noblis, Inc.
3.8","Bridgeport, WV",1001 to 5000 Employees,1996,Nonprofit Organization,Consulting,71-116 ,"Noblis, Inc.
", WV
Data Engineer,$71K-$116K (Glassdoor est.),Airlines Reporting Corporation (ARC),"Arlington, VA",-1,-1,-1,-1,71-116 ,Airlines Reporting Corporation (ARC), VA
E-Discovery ESI Data Engineer,$71K-$116K (Glassdoor est.),"Xerox Corporation
3.1","Irvine, CA",10000+ Employees,1906,Company - Public,IT Services,71-116 ,"Xerox Corporation
", CA
Senior Data Analyst,$71K-$116K (Glassdoor est.),"Government Employees Insurance Company
3.3","Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,71-116 ,"Government Employees Insurance Company
", MD
Senior Bioinformatics Scientist,$71K-$116K (Glassdoor est.),Eclipse BioInnovations,"San Diego, CA",-1,-1,-1,-1,71-116 ,Eclipse BioInnovations, CA
Data Scientist,$71K-$116K (Glassdoor est.),"Intellectual Ventures Management Llc
3.3","Bellevue, WA",501 to 1000 Employees,2000,Company - Private,Investment Banking & Asset Management,71-116 ,"Intellectual Ventures Management Llc
", WA
Data Scientist,$71K-$116K (Glassdoor est.),Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD",-1,-1,-1,-1,71-116 ,Johns Hopkins Applied Physics Laboratory (APL), MD
Data Analyst,$71K-$116K (Glassdoor est.),"TrialCard, Inc.
3.2","Morrisville, NC",1001 to 5000 Employees,2001,Company - Private,Advertising & Marketing,71-116 ,"TrialCard, Inc.
", NC
"Scientist/Senior Scientist, Analytical Development",$71K-$116K (Glassdoor est.),"Flexion Therapeutics
3.9","Burlington, MA",201 to 500 Employees,2007,Company - Public,Biotech & Pharmaceuticals,71-116 ,"Flexion Therapeutics
", MA
AI Data Scientist,$71K-$116K (Glassdoor est.),"The MITRE Corporation
3.2","McLean, VA",5001 to 10000 Employees,1958,Nonprofit Organization,Federal Agencies,71-116 ,"The MITRE Corporation
", VA
Data Scientist/Machine Learning,$71K-$116K (Glassdoor est.),"Juniper Networks, Inc.
3.8","Cupertino, CA",5001 to 10000 Employees,1996,Company - Public,Telecommunications Services,71-116 ,"Juniper Networks, Inc.
", CA
Senior Data Scientist,$71K-$116K (Glassdoor est.),"GutCheck
3.8","Denver, CO",51 to 200 Employees,2009,Company - Private,Research & Development,71-116 ,"GutCheck
", CO
Data Analyst,$71K-$116K (Glassdoor est.),"Comprehensive Healthcare
2.6","Yakima, WA",501 to 1000 Employees,1971,Nonprofit Organization,Health Care Services & Hospitals,71-116 ,"Comprehensive Healthcare
", WA
